[Header]
Application Name	LabSolutions
Version	5.73
Data File Name	C:\Users\Public\DADOS\Ricardo borges\RMBorges\26.02.25\CHIMARRAO 3.lcd
Output Date	26/02/2025
Output Time	22:01:04

[File Information]
Type	Data File
Generated	26/02/2025 21:10:36
Generated by	System Administrator
Modified	26/02/2025 22:01:03
Modified by	System Administrator

[Sample Information]
Operator Name	System Administrator
Acquired	26/02/2025 21:11:00
Sample Type	0:Unknown
Level	0
Sample Name	CHIMARAO 3
Sample ID	CHIMARAO 3
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
ISTD Amount17	1
ISTD Amount18	1
ISTD Amount19	1
ISTD Amount20	1
ISTD Amount21	1
ISTD Amount22	1
ISTD Amount23	1
ISTD Amount24	1
ISTD Amount25	1
ISTD Amount26	1
ISTD Amount27	1
ISTD Amount28	1
ISTD Amount29	1
ISTD Amount30	1
ISTD Amount31	1
ISTD Amount32	1
Sample Amount	1
Dilution Factor	1
Vial#	16
Injection Volume	10

[Original Files]
Data File	C:\Users\Public\DADOS\Ricardo borges\RMBorges\26.02.25\CHIMARRAO 3.lcd
Method File	C:\Users\Public\MÉTODOS\MÉTODOS HPLC AUTOMÁTICO\RICARDO BORGES\RMBorges\sciffee\experimental 1 - pool.lcm
Batch File	C:\Users\Public\DADOS\Ricardo borges\RMBorges\26.02.25\BATCH_RM_MIX POOL_26.02.2025.lcb
Report Format File	C:\LabSolutions\System\Default.lsr

[File Description]


[Configuration]
Instrument Name	HPLC analítico (automático)
Instrument #	1
Line #	1
# of Detectors	1
Detector ID	PDA
Detector Name	PDA
# of Channels	1

[Peak Table(PDA-Ch1)]
# of Peaks	89
Peak#	R.Time	I.Time	F.Time	Area	Height	A/H	Conc.	Mark	ID#	Name	k'	Plate #	Plate Ht.	Tailing	Resolution	Sep.Factor	Area Ratio	Height Ratio	Conc. %	Norm Conc.
1	1,565	1,259	1,707	223155	17834	12,513	0,000	   			0,000	303	494,752	0,000	0,000	0,000	0	0	0,000	0,000
2	1,771	1,707	1,995	251311	26025	9,656	0,000	 V 			0,132	1203	124,737	0,000	0,731	0,000	0	0	0,000	0,000
3	2,095	1,995	2,752	887668	93501	9,494	0,000	SV 			0,338	1614	92,945	0,000	1,566	2,569	0	0	0,000	0,000
4	2,496	2,421	2,571	8754	1539	5,688	0,000	T  			0,594	2861	52,437	0,000	2,028	1,757	0	0	0,000	0,000
5	2,643	2,571	2,741	14576	2803	5,201	0,000	TV 			0,689	4037	37,161	0,000	0,836	1,159	0	0	0,000	0,000
6	2,897	2,752	3,147	158738	13343	11,897	0,000	 V 			0,851	1776	84,474	0,000	1,153	1,236	0	0	0,000	0,000
7	3,384	3,147	3,627	109594	7588	14,443	0,000	 V 			1,162	1752	85,639	0,000	1,627	1,365	0	0	0,000	0,000
8	3,860	3,627	4,011	81345	6399	12,713	0,000	 V 			1,467	1818	82,497	0,000	1,389	1,262	0	0	0,000	0,000
9	4,138	4,011	4,608	111055	6864	16,180	0,000	 V 			1,644	2651	56,579	0,000	0,812	1,121	0	0	0,000	0,000
10	4,704	4,608	4,757	16940	2002	8,463	0,000	 V 			2,005	97	1545,083	0,000	0,507	1,220	0	0	0,000	0,000
11	4,853	4,757	4,917	19962	2148	9,293	0,000	 V 			2,101	46	3253,909	0,000	0,063	1,048	0	0	0,000	0,000
12	5,057	4,917	5,291	42422	2485	17,072	0,000	 V 			2,231	482	310,905	0,000	0,108	1,062	0	0	0,000	0,000
13	5,534	5,291	5,909	166429	12322	13,507	0,000	 V 			2,536	4388	34,181	0,000	0,759	1,136	0	0	0,000	0,000
14	6,091	5,909	6,144	24421	2507	9,740	0,000	 V 			2,891	827	181,343	0,000	0,943	1,140	0	0	0,000	0,000
15	6,425	6,144	6,720	11228123	1019421	11,014	0,000	 V 			3,105	7278	20,611	1,209	0,582	1,074	0	0	0,000	0,000
16	6,871	6,720	7,243	1204310	74751	16,111	0,000	 V 			3,390	4672	32,103	0,000	1,269	1,092	0	0	0,000	0,000
