[Header]
Application Name	LabSolutions
Version	5.73
Data File Name	C:\Users\Public\DADOS\Ricardo borges\RMBorges\26.02.25\CHA VERDE 3.lcd
Output Date	26/02/2025
Output Time	22:51:33

[File Information]
Type	Data File
Generated	26/02/2025 22:01:05
Generated by	System Administrator
Modified	26/02/2025 22:51:33
Modified by	System Administrator

[Sample Information]
Operator Name	System Administrator
Acquired	26/02/2025 22:01:29
Sample Type	0:Unknown
Level	0
Sample Name	CHA VERDE 3
Sample ID	CHA VERDE 3
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
ISTD Amount17	1
ISTD Amount18	1
ISTD Amount19	1
ISTD Amount20	1
ISTD Amount21	1
ISTD Amount22	1
ISTD Amount23	1
ISTD Amount24	1
ISTD Amount25	1
ISTD Amount26	1
ISTD Amount27	1
ISTD Amount28	1
ISTD Amount29	1
ISTD Amount30	1
ISTD Amount31	1
ISTD Amount32	1
Sample Amount	1
Dilution Factor	1
Vial#	17
Injection Volume	10

[Original Files]
Data File	C:\Users\Public\DADOS\Ricardo borges\RMBorges\26.02.25\CHA VERDE 3.lcd
Method File	C:\Users\Public\MÉTODOS\MÉTODOS HPLC AUTOMÁTICO\RICARDO BORGES\RMBorges\sciffee\experimental 1 - pool.lcm
Batch File	C:\Users\Public\DADOS\Ricardo borges\RMBorges\26.02.25\BATCH_RM_MIX POOL_26.02.2025.lcb
Report Format File	C:\LabSolutions\System\Default.lsr

[File Description]


[Configuration]
Instrument Name	HPLC analítico (automático)
Instrument #	1
Line #	1
# of Detectors	1
Detector ID	PDA
Detector Name	PDA
# of Channels	1

[Peak Table(PDA-Ch1)]
# of Peaks	86
Peak#	R.Time	I.Time	F.Time	Area	Height	A/H	Conc.	Mark	ID#	Name	k'	Plate #	Plate Ht.	Tailing	Resolution	Sep.Factor	Area Ratio	Height Ratio	Conc. %	Norm Conc.
1	1,544	1,269	1,696	799491	65924	12,127	0,000	   			0,000	197	763,077	0,000	0,000	0,000	0	0	0,000	0,000
2	1,752	1,696	1,995	522170	62513	8,353	0,000	 V 			0,135	1256	119,456	0,000	0,654	0,000	0	0	0,000	0,000
3	2,091	1,995	2,229	563835	73424	7,679	0,000	 V 			0,355	1436	104,488	0,000	1,618	2,622	0	0	0,000	0,000
4	2,306	2,229	2,549	430665	37959	11,345	0,000	 V 			0,494	719	208,604	0,000	0,761	1,392	0	0	0,000	0,000
5	2,647	2,549	2,720	132830	14463	9,184	0,000	 V 			0,715	117	1283,194	0,000	0,516	1,448	0	0	0,000	0,000
6	2,787	2,720	2,976	168284	14228	11,827	0,000	 V 			0,806	113	1324,906	0,000	0,138	1,127	0	0	0,000	0,000
7	3,038	2,976	3,104	55975	7450	7,513	0,000	 V 			0,968	27	5579,331	0,000	0,148	1,202	0	0	0,000	0,000
8	3,289	3,104	3,584	3549308	425818	8,335	0,000	 V 			1,131	3351	44,764	1,285	0,195	1,168	0	0	0,000	0,000
9	3,701	3,584	3,925	185508	11345	16,351	0,000	 V 			1,398	360	416,471	0,000	0,818	1,236	0	0	0,000	0,000
10	4,368	3,925	5,643	1081055	58854	18,368	0,000	SV 			1,830	2840	52,810	0,000	1,204	1,309	0	0	0,000	0,000
11	4,889	4,768	4,981	5415	626	8,648	0,000	T  			2,167	2214	67,765	0,000	1,401	1,184	0	0	0,000	0,000
12	5,180	4,981	5,419	13676	754	18,134	0,000	TV 			2,356	809	185,382	0,000	0,509	1,087	0	0	0,000	0,000
13	5,523	5,429	5,643	1725	287	6,000	0,000	T  			2,578	14454	10,378	1,160	0,752	1,094	0	0	0,000	0,000
14	6,073	5,643	6,133	135483	6757	20,050	0,000	 V 			2,935	94	1599,911	0,000	0,409	1,138	0	0	0,000	0,000
15	6,434	6,133	6,656	569080	39855	14,279	0,000	 V 			3,169	5398	27,787	0,000	0,252	1,080	0	0	0,000	0,000
16	6,848	6,656	7,968	2582219	136518	18,915	0,000	SV 			3,437	4807	31,206	0,000	1,110	1,085	0	0	0,000	0,000
17	7,791	7,616	7,968	46923	4712	9,959	0,000	T  			4,048	12289	12,206	1,027	2,791	1,178	0	0	0,000	0,000
18	8,172	7,968	8,331	434446	32835	13,231	0,000	 V 			4,294	7042	21,302	0,000	1,134	1,061	0	0	0,000	0,000
19	8,537	8,331	8,821	3487520	301938	11,550	0,000	 V 			4,531	12235	12,260	0,000	1,045	1,055	0	0	0,000	0,000
20	8,943	8,821	9,323	489722	27913	17,544	0,000	 V 			4,794	3593	41,747	0,000	0,897	1,058	0	0	0,000	0,000
21	9,549	9,323	9,835	1414212	129243	10,942	0,000	 V 			5,187	18705	8,019	0,000	1,385	1,082	0	0	0,000	0,000
22	10,036	9,835	10,197	393908	27120	14,525	0,000	 V 			5,502	8771	17,102	0,000	1,376	1,061	0	0	0,000	0,000
23	10,324	10,197	10,645	329967	17423	18,938	0,000	 V 			5,689	5029	29,824	0,000	0,569	1,034	0	0	0,000	0,000
24	10,688	10,645	10,795	76409	8764	8,718	0,000	 V 			5,924	13	11815,322	0,000	0,058	1,041	0	0	0,000	0,000
25	11,154	10,795	11,467	1683298	130571	12,892	0,000	 V 			6,226	19492	7,695	0,000	0,076	1,051	0	0	0,000	0,000
26	11,675	11,467	11,861	325002	18488	17,579	0,000	 V 			6,564	5767	26,009	0,000	1,114	1,054	0	0	0,000	0,000
