[Header]
Application Name	LabSolutions
Version	5.73
Data File Name	C:\Users\Public\DADOS\Ricardo borges\RMBorges\26.02.25\CHA REAL.lcd
Output Date	26/02/2025
Output Time	23:42:03

[File Information]
Type	Data File
Generated	26/02/2025 22:51:34
Generated by	System Administrator
Modified	26/02/2025 23:42:03
Modified by	System Administrator

[Sample Information]
Operator Name	System Administrator
Acquired	26/02/2025 22:52:00
Sample Type	0:Unknown
Level	0
Sample Name	CHA REAL
Sample ID	CHA REAL
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
ISTD Amount17	1
ISTD Amount18	1
ISTD Amount19	1
ISTD Amount20	1
ISTD Amount21	1
ISTD Amount22	1
ISTD Amount23	1
ISTD Amount24	1
ISTD Amount25	1
ISTD Amount26	1
ISTD Amount27	1
ISTD Amount28	1
ISTD Amount29	1
ISTD Amount30	1
ISTD Amount31	1
ISTD Amount32	1
Sample Amount	1
Dilution Factor	1
Vial#	18
Injection Volume	10

[Original Files]
Data File	C:\Users\Public\DADOS\Ricardo borges\RMBorges\26.02.25\CHA REAL.lcd
Method File	C:\Users\Public\MÉTODOS\MÉTODOS HPLC AUTOMÁTICO\RICARDO BORGES\RMBorges\sciffee\experimental 1 - pool.lcm
Batch File	C:\Users\Public\DADOS\Ricardo borges\RMBorges\26.02.25\BATCH_RM_MIX POOL_26.02.2025.lcb
Report Format File	C:\LabSolutions\System\Default.lsr

[File Description]


[Configuration]
Instrument Name	HPLC analítico (automático)
Instrument #	1
Line #	1
# of Detectors	1
Detector ID	PDA
Detector Name	PDA
# of Channels	1

[Peak Table(PDA-Ch1)]
# of Peaks	88
Peak#	R.Time	I.Time	F.Time	Area	Height	A/H	Conc.	Mark	ID#	Name	k'	Plate #	Plate Ht.	Tailing	Resolution	Sep.Factor	Area Ratio	Height Ratio	Conc. %	Norm Conc.
1	1,672	1,141	1,803	1300642	139788	9,304	0,000	   			0,000	710	211,156	0,000	0,000	0,000	0	0	0,000	0,000
2	1,867	1,803	2,016	629136	79069	7,957	0,000	 V 			0,117	783	191,555	0,000	0,752	0,000	0	0	0,000	0,000
3	2,094	2,016	2,549	1203298	86424	13,923	0,000	 V 			0,253	631	237,870	0,000	0,758	2,168	0	0	0,000	0,000
4	2,644	2,549	2,784	267498	28918	9,250	0,000	 V 			0,581	1255	119,489	0,000	1,740	2,303	0	0	0,000	0,000
5	2,894	2,784	3,136	330179	27743	11,901	0,000	 V 			0,731	1317	113,863	0,000	0,807	1,256	0	0	0,000	0,000
6	3,304	3,136	3,616	1258397	138939	9,057	0,000	 V 			0,976	3159	47,482	0,000	1,482	1,336	0	0	0,000	0,000
7	3,833	3,616	4,000	179622	9678	18,560	0,000	 V 			1,292	375	399,830	0,000	1,029	1,324	0	0	0,000	0,000
8	4,140	4,000	4,256	207161	20589	10,062	0,000	 V 			1,476	2648	56,645	0,000	0,553	1,142	0	0	0,000	0,000
9	4,389	4,256	4,619	297922	20898	14,256	0,000	 V 			1,625	1580	94,959	0,000	0,652	1,101	0	0	0,000	0,000
10	4,687	4,619	4,832	81435	7317	11,130	0,000	 V 			1,803	328	458,012	0,000	0,403	1,109	0	0	0,000	0,000
11	5,032	4,832	5,280	138875	5663	24,522	0,000	 V 			2,009	72	2091,479	0,000	0,202	1,115	0	0	0,000	0,000
12	5,527	5,280	5,877	207065	9094	22,770	0,000	 V 			2,305	1624	92,380	0,000	0,338	1,147	0	0	0,000	0,000
13	6,064	5,877	6,187	160474	12507	12,831	0,000	 V 			2,626	2870	52,257	0,000	1,072	1,139	0	0	0,000	0,000
14	6,435	6,187	6,709	5219140	474096	11,009	0,000	 V 			2,848	7431	20,185	1,143	0,987	1,084	0	0	0,000	0,000
15	6,866	6,709	7,499	1550517	83166	18,644	0,000	 V 			3,106	4579	32,760	0,000	1,225	1,091	0	0	0,000	0,000
16	7,605	7,499	7,957	262793	10559	24,888	0,000	 V 			3,548	176	852,724	0,000	0,547	1,142	0	0	0,000	0,000
