[Header]
Application Name	LabSolutions
Version	5.73
Data File Name	C:\Users\Public\DADOS\Ricardo borges\RMBorges\26.02.25\CHIMARRAO 2.lcd
Output Date	27/02/2025
Output Time	03:54:27

[File Information]
Type	Data File
Generated	27/02/2025 03:03:59
Generated by	System Administrator
Modified	27/02/2025 03:54:26
Modified by	System Administrator

[Sample Information]
Operator Name	System Administrator
Acquired	27/02/2025 03:04:23
Sample Type	0:Unknown
Level	0
Sample Name	CHIMARRAO 2
Sample ID	CHIMARRAO 2
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
ISTD Amount17	1
ISTD Amount18	1
ISTD Amount19	1
ISTD Amount20	1
ISTD Amount21	1
ISTD Amount22	1
ISTD Amount23	1
ISTD Amount24	1
ISTD Amount25	1
ISTD Amount26	1
ISTD Amount27	1
ISTD Amount28	1
ISTD Amount29	1
ISTD Amount30	1
ISTD Amount31	1
ISTD Amount32	1
Sample Amount	1
Dilution Factor	1
Vial#	23
Injection Volume	10

[Original Files]
Data File	C:\Users\Public\DADOS\Ricardo borges\RMBorges\26.02.25\CHIMARRAO 2.lcd
Method File	C:\Users\Public\MÉTODOS\MÉTODOS HPLC AUTOMÁTICO\RICARDO BORGES\RMBorges\sciffee\experimental 1 - pool.lcm
Batch File	C:\Users\Public\DADOS\Ricardo borges\RMBorges\26.02.25\BATCH_RM_MIX POOL_26.02.2025.lcb
Report Format File	C:\LabSolutions\System\Default.lsr

[File Description]


[Configuration]
Instrument Name	HPLC analítico (automático)
Instrument #	1
Line #	1
# of Detectors	1
Detector ID	PDA
Detector Name	PDA
# of Channels	1

[Peak Table(PDA-Ch1)]
# of Peaks	89
Peak#	R.Time	I.Time	F.Time	Area	Height	A/H	Conc.	Mark	ID#	Name	k'	Plate #	Plate Ht.	Tailing	Resolution	Sep.Factor	Area Ratio	Height Ratio	Conc. %	Norm Conc.
1	1,555	1,131	1,707	239604	18979	12,625	0,000	   			0,000	289	519,014	0,000	0,000	0,000	0	0	0,000	0,000
2	1,764	1,707	1,995	263620	26663	9,887	0,000	 V 			0,135	1227	122,281	0,000	0,740	0,000	0	0	0,000	0,000
3	2,084	1,995	2,741	906402	96421	9,400	0,000	SV 			0,341	1610	93,157	0,000	1,563	2,525	0	0	0,000	0,000
4	2,485	2,411	2,549	8576	1566	5,478	0,000	T  			0,598	2779	53,974	0,000	2,020	1,756	0	0	0,000	0,000
5	2,627	2,549	2,731	19362	3596	5,384	0,000	TV 			0,690	3906	38,400	0,000	0,796	1,153	0	0	0,000	0,000
6	2,881	2,741	3,136	159969	13485	11,863	0,000	 V 			0,853	1713	87,566	0,000	1,140	1,237	0	0	0,000	0,000
7	3,362	3,136	3,605	105057	7372	14,251	0,000	 V 			1,163	1764	85,011	0,000	1,606	1,362	0	0	0,000	0,000
8	3,835	3,605	3,989	83911	6547	12,816	0,000	 V 			1,467	1779	84,317	0,000	1,384	1,262	0	0	0,000	0,000
9	4,116	3,989	4,480	103547	6933	14,936	0,000	 V 			1,648	2436	61,577	0,000	0,807	1,123	0	0	0,000	0,000
10	4,501	4,480	4,565	9285	1855	5,004	0,000	 V 			1,896	20	7617,887	0,000	0,175	1,150	0	0	0,000	0,000
11	4,683	4,565	4,736	20652	2164	9,543	0,000	 V 			2,012	35	4270,178	0,000	0,050	1,062	0	0	0,000	0,000
12	4,821	4,736	4,896	21595	2330	9,268	0,000	 V 			2,101	104	1436,939	0,000	0,055	1,044	0	0	0,000	0,000
13	5,017	4,896	5,259	42137	2547	16,546	0,000	 V 			2,227	458	327,765	0,000	0,139	1,060	0	0	0,000	0,000
14	5,504	5,259	5,877	172590	12713	13,576	0,000	 V 			2,541	4320	34,722	0,000	0,766	1,141	0	0	0,000	0,000
15	6,053	5,877	6,112	26627	2668	9,982	0,000	 V 			2,894	1070	140,193	0,000	1,022	1,139	0	0	0,000	0,000
16	6,390	6,112	6,688	11133464	1015866	10,960	0,000	 V 			3,111	7245	20,705	1,208	0,647	1,075	0	0	0,000	0,000
17	6,832	6,688	7,200	1248759	79116	15,784	0,000	 V 			3,395	4838	31,005	0,000	1,275	1,091	0	0	0,000	0,000
18	7,322	7,200	7,584	217802	15412	14,132	0,000	 V 			3,710	3509	42,752	0,000	1,105	1,093	0	0	0,000	0,000
