[Header]
Application Name	LabSolutions
Version	5.73
Data File Name	C:\Users\Public\DADOS\Ricardo borges\RMBorges\26.02.25\MATE 1.lcd
Output Date	27/02/2025
Output Time	05:35:24

[File Information]
Type	Data File
Generated	27/02/2025 04:44:57
Generated by	System Administrator
Modified	27/02/2025 05:35:24
Modified by	System Administrator

[Sample Information]
Operator Name	System Administrator
Acquired	27/02/2025 04:45:22
Sample Type	0:Unknown
Level	0
Sample Name	MATE 1
Sample ID	MATE 1
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
ISTD Amount17	1
ISTD Amount18	1
ISTD Amount19	1
ISTD Amount20	1
ISTD Amount21	1
ISTD Amount22	1
ISTD Amount23	1
ISTD Amount24	1
ISTD Amount25	1
ISTD Amount26	1
ISTD Amount27	1
ISTD Amount28	1
ISTD Amount29	1
ISTD Amount30	1
ISTD Amount31	1
ISTD Amount32	1
Sample Amount	1
Dilution Factor	1
Vial#	25
Injection Volume	10

[Original Files]
Data File	C:\Users\Public\DADOS\Ricardo borges\RMBorges\26.02.25\MATE 1.lcd
Method File	C:\Users\Public\MÉTODOS\MÉTODOS HPLC AUTOMÁTICO\RICARDO BORGES\RMBorges\sciffee\experimental 1 - pool.lcm
Batch File	C:\Users\Public\DADOS\Ricardo borges\RMBorges\26.02.25\BATCH_RM_MIX POOL_26.02.2025.lcb
Report Format File	C:\LabSolutions\System\Default.lsr

[File Description]


[Configuration]
Instrument Name	HPLC analítico (automático)
Instrument #	1
Line #	1
# of Detectors	1
Detector ID	PDA
Detector Name	PDA
# of Channels	1

[Peak Table(PDA-Ch1)]
# of Peaks	91
Peak#	R.Time	I.Time	F.Time	Area	Height	A/H	Conc.	Mark	ID#	Name	k'	Plate #	Plate Ht.	Tailing	Resolution	Sep.Factor	Area Ratio	Height Ratio	Conc. %	Norm Conc.
1	1,580	1,152	1,696	163446	13350	12,243	0,000	   			0,000	292	513,563	0,000	0,000	0,000	0	0	0,000	0,000
2	1,762	1,696	1,803	119530	26215	4,560	0,000	 V 			0,115	712	210,814	0,000	0,572	0,000	0	0	0,000	0,000
3	1,839	1,803	1,995	212254	22705	9,348	0,000	 V 			0,164	72	2082,775	0,000	0,138	1,430	0	0	0,000	0,000
4	2,087	1,995	2,421	605599	48272	12,546	0,000	 V 			0,321	275	544,746	0,000	0,361	1,953	0	0	0,000	0,000
5	2,469	2,421	2,571	73629	8887	8,285	0,000	 V 			0,562	33	4528,224	0,000	0,344	1,754	0	0	0,000	0,000
6	2,626	2,571	2,741	69724	7738	9,010	0,000	 V 			0,662	109	1373,407	0,000	0,116	1,177	0	0	0,000	0,000
7	2,888	2,741	3,264	478269	47714	10,024	0,000	 V 			0,828	2529	59,304	0,000	0,425	1,251	0	0	0,000	0,000
8	3,395	3,264	3,477	69601	6243	11,148	0,000	 V 			1,148	390	384,643	0,000	1,104	1,387	0	0	0,000	0,000
9	3,513	3,477	3,616	31757	5391	5,890	0,000	 V 			1,223	653	229,688	0,000	0,191	1,065	0	0	0,000	0,000
10	3,829	3,616	3,968	85160	5777	14,741	0,000	 V 			1,423	966	155,212	0,000	0,606	1,163	0	0	0,000	0,000
11	4,123	3,968	4,331	376096	44323	8,485	0,000	 V 			1,609	5261	28,514	0,000	0,817	1,131	0	0	0,000	0,000
12	4,469	4,331	4,576	79997	7114	11,244	0,000	 V 			1,829	1691	88,704	0,000	1,046	1,136	0	0	0,000	0,000
13	4,674	4,576	4,853	81410	8196	9,933	0,000	 V 			1,958	3229	46,448	0,000	0,536	1,071	0	0	0,000	0,000
14	5,007	4,853	5,195	35589	2027	17,554	0,000	 V 			2,169	539	278,218	0,000	0,559	1,108	0	0	0,000	0,000
15	5,488	5,195	5,579	68646	4846	14,165	0,000	 V 			2,474	1247	120,283	0,000	0,649	1,141	0	0	0,000	0,000
16	5,621	5,579	5,867	43168	3945	10,942	0,000	 V 			2,558	15	10140,046	0,000	0,041	1,034	0	0	0,000	0,000
