[Header]
Application Name	LabSolutions
Version	5.73
Data File Name	C:\Users\Public\DADOS\Ricardo borges\RMBorges\26.02.25\SCIFFEE 1.lcd
Output Date	27/02/2025
Output Time	06:25:54

[File Information]
Type	Data File
Generated	27/02/2025 05:35:25
Generated by	System Administrator
Modified	27/02/2025 06:25:53
Modified by	System Administrator

[Sample Information]
Operator Name	System Administrator
Acquired	27/02/2025 05:35:51
Sample Type	0:Unknown
Level	0
Sample Name	SCIFFEE 1
Sample ID	SCIFFEE 1
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
ISTD Amount17	1
ISTD Amount18	1
ISTD Amount19	1
ISTD Amount20	1
ISTD Amount21	1
ISTD Amount22	1
ISTD Amount23	1
ISTD Amount24	1
ISTD Amount25	1
ISTD Amount26	1
ISTD Amount27	1
ISTD Amount28	1
ISTD Amount29	1
ISTD Amount30	1
ISTD Amount31	1
ISTD Amount32	1
Sample Amount	1
Dilution Factor	1
Vial#	26
Injection Volume	10

[Original Files]
Data File	C:\Users\Public\DADOS\Ricardo borges\RMBorges\26.02.25\SCIFFEE 1.lcd
Method File	C:\Users\Public\MÉTODOS\MÉTODOS HPLC AUTOMÁTICO\RICARDO BORGES\RMBorges\sciffee\experimental 1 - pool.lcm
Batch File	C:\Users\Public\DADOS\Ricardo borges\RMBorges\26.02.25\BATCH_RM_MIX POOL_26.02.2025.lcb
Report Format File	C:\LabSolutions\System\Default.lsr

[File Description]


[Configuration]
Instrument Name	HPLC analítico (automático)
Instrument #	1
Line #	1
# of Detectors	1
Detector ID	PDA
Detector Name	PDA
# of Channels	1

[Peak Table(PDA-Ch1)]
# of Peaks	88
Peak#	R.Time	I.Time	F.Time	Area	Height	A/H	Conc.	Mark	ID#	Name	k'	Plate #	Plate Ht.	Tailing	Resolution	Sep.Factor	Area Ratio	Height Ratio	Conc. %	Norm Conc.
1	1,664	1,269	1,803	2713053	372545	7,282	0,000	   			0,000	1050	142,872	0,000	0,000	0,000	0	0	0,000	0,000
2	1,858	1,803	2,005	469275	70187	6,686	0,000	 V 			0,117	1218	123,188	0,000	0,927	0,000	0	0	0,000	0,000
3	2,169	2,005	2,432	568384	50751	11,199	0,000	 V 			0,303	701	213,832	0,000	1,149	2,601	0	0	0,000	0,000
4	2,630	2,432	2,795	403626	48579	8,309	0,000	 V 			0,580	2546	58,919	0,000	1,720	1,914	0	0	0,000	0,000
5	2,896	2,795	3,093	115282	8210	14,041	0,000	 V 			0,740	280	536,017	0,000	0,592	1,276	0	0	0,000	0,000
6	3,280	3,093	3,467	130783	7805	16,757	0,000	 V 			0,971	530	283,110	0,000	0,607	1,311	0	0	0,000	0,000
7	3,517	3,467	3,627	42719	5915	7,222	0,000	 V 			1,113	1193	125,766	0,000	0,486	1,147	0	0	0,000	0,000
8	3,795	3,627	4,043	95808	5395	17,758	0,000	 V 			1,280	804	186,648	0,000	0,589	1,150	0	0	0,000	0,000
9	4,320	4,043	4,736	164527	6319	26,036	0,000	 V 			1,596	425	352,877	0,000	0,765	1,247	0	0	0,000	0,000
10	4,821	4,736	4,917	24095	2253	10,696	0,000	 V 			1,897	10	15199,520	0,000	0,144	1,189	0	0	0,000	0,000
11	5,107	4,917	5,344	62544	2857	21,894	0,000	 V 			2,068	369	406,739	0,000	0,079	1,090	0	0	0,000	0,000
12	5,502	5,344	5,589	31103	2215	14,039	0,000	 V 			2,306	133	1127,925	0,000	0,266	1,115	0	0	0,000	0,000
13	5,781	5,589	5,835	34341	2597	13,221	0,000	 V 			2,474	103	1451,980	0,000	0,133	1,073	0	0	0,000	0,000
14	6,045	5,835	6,229	199673	14244	14,018	0,000	 V 			2,632	3533	42,456	0,000	0,196	1,064	0	0	0,000	0,000
15	6,422	6,229	6,699	331095	23948	13,826	0,000	 V 			2,859	5129	29,245	0,000	0,986	1,086	0	0	0,000	0,000
16	6,885	6,699	7,019	69362	3794	18,284	0,000	 V 			3,137	105	1423,661	0,000	0,304	1,097	0	0	0,000	0,000
